"Jaar";"Hn-klimaatscenario";"Hn-klimaatscenario";"Hn-klimaatscenario";"Hn-klimaatscenario range (low)";"Hn-klimaatscenario range (high)";"Hd-klimaatscenario";"Hd-klimaatscenario";"Hd-klimaatscenario";"Hd-klimaatscenario range (low)";"Hd-klimaatscenario range (high)";"Ln-klimaatscenario";"Ln-klimaatscenario";"Ln-klimaatscenario";"Ln-klimaatscenario range (low)";"Ln-klimaatscenario range (high)";"Ld-klimaatscenario";"Ld-klimaatscenario";"Ld-klimaatscenario";"Ld-klimaatscenario range (low)";"Ld-klimaatscenario range (high)";"Verwachting dit jaar";"Verwachting 2025";"Jaargemiddelde";"Trendlijn metingen";"90% band (low)";"90% band (high)"
1901;;;;;;;;;;;;;;;;;;;;;;;8,7;8,82;7,729;9,549
1902;;;;;;;;;;;;;;;;;;;;;;;8,2;8,828;7,736;9,556
1903;;;;;;;;;;;;;;;;;;;;;;;9,2;8,835;7,743;9,563
1904;;;;;;;;;;;;;;;;;;;;;;;8,9;8,841;7,75;9,57
1905;;;;;;;;;;;;;;;;;;;;;;;8,7;8,848;7,757;9,577
1906;;;;;;;;;;;;;;;;;;;;;;;9,1;8,854;7,763;9,583
1907;;;;;;;;;;;;;;;;;;;;;;;8,6;8,861;7,769;9,59
1908;;;;;;;;;;;;;;;;;;;;;;;8,4;8,867;7,776;9,596
1909;;;;;;;;;;;;;;;;;;;;;;;8,3;8,873;7,782;9,602
1910;;;;;;;;;;;;;;;;;;;;;;;9,4;8,879;7,788;9,608
1911;;;;;;;;;;;;;;;;;;;;;;;9,7;8,886;7,795;9,615
1912;;;;;;;;;;;;;;;;;;;;;;;9,2;8,893;7,801;9,621
1913;;;;;;;;;;;;;;;;;;;;;;;9,5;8,9;7,808;9,628
1914;;;;;;;;;;;;;;;;;;;;;;;9,6;8,907;7,816;9,636
1915;;;;;;;;;;;;;;;;;;;;;;;8,7;8,915;7,824;9,644
1916;;;;;;;;;;;;;;;;;;;;;;;9,1;8,923;7,832;9,652
1917;;;;;;;;;;;;;;;;;;;;;;;8,2;8,932;7,841;9,661
1918;;;;;;;;;;;;;;;;;;;;;;;9,2;8,941;7,849;9,669
1919;;;;;;;;;;;;;;;;;;;;;;;8;8,949;7,858;9,678
1920;;;;;;;;;;;;;;;;;;;;;;;9,2;8,957;7,866;9,686
1921;;;;;;;;;;;;;;;;;;;;;;;9,7;8,964;7,872;9,692
1922;;;;;;;;;;;;;;;;;;;;;;;8,2;8,972;7,881;9,701
1923;;;;;;;;;;;;;;;;;;;;;;;8,7;8,979;7,888;9,708
1924;;;;;;;;;;;;;;;;;;;;;;;8,4;8,984;7,893;9,713
1925;;;;;;;;;;;;;;;;;;;;;;;9;8,987;7,896;9,716
1926;;;;;;;;;;;;;;;;;;;;;;;9,5;8,988;7,897;9,717
1927;;;;;;;;;;;;;;;;;;;;;;;8,8;8,989;7,898;9,718
1928;;;;;;;;;;;;;;;;;;;;;;;9,2;8,99;7,899;9,719
1929;;;;;;;;;;;;;;;;;;;;;;;8,1;8,993;7,902;9,722
1930;;;;;;;;;;;;;;;;;;;;;;;9,5;8,998;7,907;9,727
1931;;;;;;;;;;;;;;;;;;;;;;;8,6;9,007;7,916;9,736
1932;;;;;;;;;;;;;;;;;;;;;;;9,2;9,019;7,928;9,748
1933;;;;;;;;;;;;;;;;;;;;;;;8,8;9,033;7,942;9,762
1934;;;;;;;;;;;;;;;;;;;;;;;10;9,05;7,959;9,779
1935;;;;;;;;;;;;;;;;;;;;;;;9,5;9,068;7,976;9,796
1936;;;;;;;;;;;;;;;;;;;;;;;9,3;9,085;7,994;9,814
1937;;;;;;;;;;;;;;;;;;;;;;;9,3;9,102;8,011;9,831
1938;;;;;;;;;;;;;;;;;;;;;;;9,5;9,118;8,026;9,846
1939;;;;;;;;;;;;;;;;;;;;;;;9,4;9,132;8,04;9,86
1940;;;;;;;;;;;;;;;;;;;;;;;8;9,144;8,053;9,873
1941;;;;;;;;;;;;;;;;;;;;;;;8,5;9,156;8,065;9,885
1942;;;;;;;;;;;;;;;;;;;;;;;8,1;9,167;8,075;9,895
1943;;;;;;;;;;;;;;;;;;;;;;;9,5;9,176;8,085;9,905
1944;;;;;;;;;;;;;;;;;;;;;;;9,3;9,184;8,092;9,912
1945;;;;;;;;;;;;;;;;;;;;;;;9,8;9,189;8,098;9,918
1946;;;;;;;;;;;;;;;;;;;;;;;8,9;9,192;8,101;9,921
1947;;;;;;;;;;;;;;;;;;;;;;;9,2;9,193;8,102;9,922
1948;;;;;;;;;;;;;;;;;;;;;;;9,7;9,193;8,102;9,922
1949;;;;;;;;;;;;;;;;;;;;;;;9,8;9,191;8,1;9,92
1950;;;;;;;;;;;;;;;;;;;;;;;9,2;9,19;8,098;9,918
1951;;;;;;;;;;;;;;;;;;;;;;;9,6;9,188;8,097;9,917
1952;;;;;;;;;;;;;;;;;;;;;;;8,8;9,188;8,097;9,917
1953;;;;;;;;;;;;;;;;;;;;;;;9,7;9,189;8,098;9,918
